symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,92803.393,11284370597.622211,19905281.00000000,2025-08-13 19:00:00+00:00
BTCUSDT,92266.054,11322807107.4314,19905281.00000000,2025-08-13 20:00:00+00:00
BTCUSDT,92846.798,11411372846.9092,19905281.00000000,2025-08-13 21:00:00+00:00
BTCUSDT,93190.85,11419079063.785906,19905281.00000000,2025-08-13 22:00:00+00:00
BTCUSDT,93123.983,11449818780.634594,19905281.00000000,2025-08-13 23:00:00+00:00
BTCUSDT,93245.38,11499383918.582,19905281.00000000,2025-08-14 00:00:00+00:00
BTCUSDT,93851.607,11625501795.8577,19905281.00000000,2025-08-14 01:00:00+00:00
BTCUSDT,93778.469,11568068469.352146,19905984.00000000,2025-08-14 02:00:00+00:00
BTCUSDT,94049.29,11634104081.438,19905984.00000000,2025-08-14 03:00:00+00:00
BTCUSDT,94502.641,11661122399.258144,19905984.00000000,2025-08-14 04:00:00+00:00
BTCUSDT,94959.943,11685485705.751,19905984.00000000,2025-08-14 05:00:00+00:00
BTCUSDT,94457.442,11539497305.1162,19905984.00000000,2025-08-14 06:00:00+00:00
BTCUSDT,93743.44,11417402544.519384,19905984.00000000,2025-08-14 07:00:00+00:00
BTCUSDT,93297.532,11357975841.569496,19905984.00000000,2025-08-14 08:00:00+00:00
BTCUSDT,93619.606,11388225904.4216,19905984.00000000,2025-08-14 09:00:00+00:00
BTCUSDT,93672.138,11395693315.6038,19905984.00000000,2025-08-14 10:00:00+00:00
BTCUSDT,93504.309,11309607985.6152,19905984.00000000,2025-08-14 11:00:00+00:00
BTCUSDT,93653.463,11327180312.2314,19905984.00000000,2025-08-14 12:00:00+00:00
BTCUSDT,92981.567,11049501707.0718,19905984.00000000,2025-08-14 13:00:00+00:00
BTCUSDT,94123.742,11142677257.795012,19905984.00000000,2025-08-14 14:00:00+00:00
BTCUSDT,93609.184,11116287179.2864,19905984.00000000,2025-08-14 15:00:00+00:00
BTCUSDT,93321.845,11031239338.808,19905984.00000000,2025-08-14 16:00:00+00:00
BTCUSDT,93636.13,11032865376.163843,19905984.00000000,2025-08-14 17:00:00+00:00
BTCUSDT,93568.819,11030228134.068962,19905984.00000000,2025-08-14 18:00:00+00:00
BTCUSDT,92894.375,10964611053.8125,19905984.00000000,2025-08-14 19:00:00+00:00
BTCUSDT,92700.95,10927995870.18,19905984.00000000,2025-08-14 20:00:00+00:00
BTCUSDT,92488.579,10895732675.233822,19905984.00000000,2025-08-14 21:00:00+00:00
BTCUSDT,92470.224,10897033335.9888,19905984.00000000,2025-08-14 22:00:00+00:00
